name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
F10	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
AF8	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
AF4	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
F2	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
FCz	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
Fp2	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
Fz	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
FC1	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
AFz	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
F1	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
Fp1	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
AF3	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
F3	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
AF7	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
F5	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
FC5	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
FC3	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
C1	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
F9	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
F7	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
FT7	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
C3	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
CP1	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
FT9	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
C5	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
CP3	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
T9	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
T7	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
TP7	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
CP5	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
P3	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
CPz	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
TP9	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
P7	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
P1	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
Pz	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
PO7	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
PO3	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
O1	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
POz	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
Oz	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
PO4	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
P2	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
O2	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
CP2	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
PO8	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
P4	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
CP4	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
P8	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
CP6	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
TP10	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
TP8	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
C6	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
C4	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
C2	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
T8	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
FC4	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
FC2	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
T10	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
FT8	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
FC6	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
FT10	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
F8	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
F6	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
F4	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
Cz	EEG	V	0.5	70.0	ElectroEncephaloGram	1000.0	good	n/a
EOG	EOG	V	0.5	70.0	ElectroOculoGram	1000.0	good	n/a
